Student_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,55,56
Average Vocal Hours,4.663333333,2.584126984,7.658333333,5.1125,9.17,3.506666667,3.587719298,5.161666667,4.968333333,2.316666667,3.271666667,0.507692308,2.883333333,0.069444444,0.266666667,5.595,1.815686275,3.435714286,2.540350877,1.289583333,5.65,5.531481481,2.246666667,3.316666667,9.201666667,4.431578947,5.268333333,3.175925926,1.963636364,4.170175439,4.238333333,4.785964912,2.226190476,4.646031746,2.287719298,5.107017544,1.672222222,1.117460317,5.749206349,2.915873016,6.035087719,11.18571429,6.652380952,3.711111111,4.501587302,5.322222222,5.101851852,2.952083333,5.723333333,6.136842105,0.073333333
